date,reason,asia_hi,asia_lo,pierce_hi,pierce_lo,direction,datetime,entry_low,entry_high,zone_width,fvg_pass
2015-01-01,no_asia_data,,,,,,,,,,
2015-01-02,no_pierce_or_fvg,1188.28,1173.5,True,True,,,,,,
2015-01-04,no_asia_data,,,,,,,,,,
2015-01-05,no_pierce_or_fvg,1197.71,1177.44,True,False,,,,,,
2015-01-06,no_pierce_or_fvg,1214.23,1201.6,True,False,,,,,,
2015-01-07,no_pierce_or_fvg,1218.58,1210.93,False,True,,,,,,
2015-01-08,no_pierce_or_fvg,1214.17,1204.63,True,False,,,,,,
2015-01-09,no_pierce_or_fvg,1214.21,1207.33,True,True,,,,,,
2015-01-11,no_asia_data,,,,,,,,,,
2015-01-12,no_pierce_or_fvg,1231.07,1217.53,True,False,,,,,,
2015-01-13,no_pierce_or_fvg,1244.13,1230.62,False,True,,,,,,
2015-01-14,no_pierce_or_fvg,1234.49,1224.98,True,False,,,,,,
2015-01-15,no_pierce_or_fvg,1260.82,1225.97,True,False,,,,,,
2015-01-16,no_pierce_or_fvg,1263.72,1254.95,True,False,,,,,,
2015-01-18,no_asia_data,,,,,,,,,,
2015-01-19,no_pierce_or_fvg,1281.52,1274.38,False,True,,,,,,
2015-01-20,no_pierce_or_fvg,1294.03,1273.99,True,False,,,,,,
2015-01-21,no_pierce_or_fvg,1303.4,1290.47,True,True,,,,,,
2015-01-22,no_pierce_or_fvg,1293.65,1279.54,True,False,,,,,,
2015-01-23,no_pierce_or_fvg,1302.1,1292.56,False,True,,,,,,
2015-01-25,no_asia_data,,,,,,,,,,
2015-01-26,no_pierce_or_fvg,1299.15,1275.82,False,True,,,,,,
2015-01-27,no_pierce_or_fvg,1283.86,1272.27,True,False,,,,,,
2015-01-28,no_pierce_or_fvg,1293.61,1285.96,False,True,,,,,,
2015-01-29,,1285.8,1263.84,,True,BUY,2015-01-29 19:30:00,1258.14,1258.93,0.7899999999999636,True
2015-01-30,no_pierce_or_fvg,1266.01,1257.12,True,False,,,,,,
2015-02-01,no_asia_data,,,,,,,,,,
2015-02-02,no_pierce_or_fvg,1283.44,1271.23,False,True,,,,,,
2015-02-03,no_pierce_or_fvg,1285.69,1269.78,False,True,,,,,,
2015-02-04,no_pierce_or_fvg,1271.43,1256.64,True,False,,,,,,
2015-02-05,no_pierce_or_fvg,1273.96,1258.77,False,True,,,,,,
2015-02-06,no_pierce_or_fvg,1268.69,1262.25,False,True,,,,,,
2015-02-08,no_asia_data,,,,,,,,,,
2015-02-09,no_pierce_or_fvg,1243.51,1233.91,True,False,,,,,,
2015-02-10,no_pierce_or_fvg,1245.81,1233.49,False,True,,,,,,
2015-02-11,no_pierce_or_fvg,1238.63,1232.98,False,True,,,,,,
2015-02-12,no_pierce_or_fvg,1232.87,1218.17,False,False,,,,,,
2015-02-13,no_pierce_or_fvg,1231.16,1221.69,True,False,,,,,,
2015-02-15,no_asia_data,,,,,,,,,,
2015-02-16,no_pierce_or_fvg,1236.63,1227.88,False,True,,,,,,
2015-02-17,no_pierce_or_fvg,1233.9,1218.78,False,True,,,,,,
2015-02-18,no_pierce_or_fvg,1210.86,1202.57,True,True,,,,,,
2015-02-19,no_pierce_or_fvg,1222.88,1211.42,False,True,,,,,,
2015-02-20,no_pierce_or_fvg,1214.89,1201.51,True,True,,,,,,
2015-02-22,no_asia_data,,,,,,,,,,
2015-02-23,no_pierce_or_fvg,1204.76,1190.28,True,False,,,,,,
2015-02-24,no_pierce_or_fvg,1204.47,1194.48,True,True,,,,,,
2015-02-25,no_pierce_or_fvg,1211.8,1200.09,False,False,,,,,,
2015-02-26,no_pierce_or_fvg,1219.88,1203.58,False,False,,,,,,
2015-02-27,no_pierce_or_fvg,1212.22,1204.43,True,False,,,,,,
2015-03-01,no_asia_data,,,,,,,,,,
2015-03-02,no_pierce_or_fvg,1223.17,1212.52,False,True,,,,,,
2015-03-03,no_pierce_or_fvg,1211.38,1195.33,True,False,,,,,,
2015-03-04,no_pierce_or_fvg,1208.9,1201.79,False,True,,,,,,
2015-03-05,no_pierce_or_fvg,1205.86,1197.84,True,True,,,,,,
2015-03-06,no_pierce_or_fvg,1200.64,1192.82,False,True,,,,,,
2015-03-08,no_asia_data,,,,,,,,,,
2015-03-09,no_pierce_or_fvg,1175.3,1167.09,False,True,,,,,,
2015-03-10,no_pierce_or_fvg,1169.16,1155.21,True,False,,,,,,
2015-03-11,no_pierce_or_fvg,1165.13,1156.68,False,True,,,,,,
2015-03-12,no_pierce_or_fvg,1166.5,1150.12,False,True,,,,,,
2015-03-13,no_pierce_or_fvg,1161.7,1153.37,False,True,,,,,,
2015-03-15,no_asia_data,,,,,,,,,,
2015-03-16,no_pierce_or_fvg,1164.06,1153.53,False,True,,,,,,
2015-03-17,no_pierce_or_fvg,1156.87,1151.96,True,True,,,,,,
2015-03-18,no_pierce_or_fvg,1152.92,1145.9,True,False,,,,,,
2015-03-19,no_pierce_or_fvg,1177.79,1163.23,False,True,,,,,,
2015-03-20,no_pierce_or_fvg,1174.22,1168.72,True,False,,,,,,
2015-03-22,no_asia_data,,,,,,,,,,
2015-03-23,no_pierce_or_fvg,1187.17,1179.3,True,False,,,,,,
2015-03-24,no_pierce_or_fvg,1194.92,1185.32,False,False,,,,,,
2015-03-25,no_pierce_or_fvg,1196.18,1186.6,True,False,,,,,,
2015-03-26,no_pierce_or_fvg,1219.56,1194.42,False,False,,,,,,
2015-03-27,no_pierce_or_fvg,1206.14,1195.69,False,True,,,,,,
2015-03-29,no_asia_data,,,,,,,,,,
2015-03-30,no_pierce_or_fvg,1199.43,1185.72,False,True,,,,,,
2015-03-31,no_pierce_or_fvg,1187.42,1178.44,True,False,,,,,,
2015-04-01,,1188.96,1180.78,True,,SELL,2015-04-01 18:45:00,1203.8,1204.34,0.5399999999999636,True
2015-04-02,no_pierce_or_fvg,1207.27,1201.15,False,True,,,,,,
2015-04-03,no_pierce_or_fvg,1202.79,1201.19,True,False,,,,,,
2015-04-05,no_asia_data,,,,,,,,,,
2015-04-06,no_pierce_or_fvg,1223.33,1213.96,True,True,,,,,,
2015-04-07,no_pierce_or_fvg,1216.19,1207.45,False,False,,,,,,
2015-04-08,no_pierce_or_fvg,1212.27,1207.75,False,True,,,,,,
2015-04-09,no_pierce_or_fvg,1203.32,1192.53,False,False,,,,,,
2015-04-10,no_pierce_or_fvg,1205.51,1193.14,True,False,,,,,,
2015-04-12,no_asia_data,,,,,,,,,,
2015-04-13,no_pierce_or_fvg,1209.43,1197.59,False,True,,,,,,
2015-04-14,no_pierce_or_fvg,1201.4,1187.34,False,True,,,,,,
2015-04-15,no_pierce_or_fvg,1195.05,1188.97,True,True,,,,,,
2015-04-16,no_pierce_or_fvg,1208.98,1200.01,False,True,,,,,,
2015-04-17,no_pierce_or_fvg,1207.76,1197.33,False,False,,,,,,
2015-04-19,no_asia_data,,,,,,,,,,
2015-04-20,,1209.1,1199.26,,True,BUY,2015-04-20 18:45:00,1195.09,1195.91,0.8200000000001637,True
2015-04-21,no_pierce_or_fvg,1198.9,1193.09,True,False,,,,,,
2015-04-22,no_pierce_or_fvg,1204.76,1198.27,False,True,,,,,,
2015-04-23,no_pierce_or_fvg,1190.35,1184.27,True,False,,,,,,
2015-04-24,no_pierce_or_fvg,1195.95,1190.45,False,True,,,,,,
2015-04-26,no_asia_data,,,,,,,,,,
2015-04-27,no_pierce_or_fvg,1185.19,1178.54,True,False,,,,,,
2015-04-28,no_pierce_or_fvg,1203.63,1199.23,True,False,,,,,,
2015-04-29,no_pierce_or_fvg,1212.45,1204.37,True,True,,,,,,
2015-04-30,no_pierce_or_fvg,1207.16,1199.94,False,True,,,,,,
2015-05-01,,1185.17,1178.88,,True,BUY,2015-05-01 16:45:00,1174.14,1174.65,0.5099999999999909,True
2015-05-03,no_asia_data,,,,,,,,,,
2015-05-04,no_pierce_or_fvg,1185.05,1177.66,True,False,,,,,,
2015-05-05,no_pierce_or_fvg,1190.23,1185.69,True,False,,,,,,
2015-05-06,no_pierce_or_fvg,1197.3,1188.19,True,True,,,,,,
2015-05-07,no_pierce_or_fvg,1192.75,1180.8,False,True,,,,,,
2015-05-08,,1188.8,1181.87,True,,SELL,2015-05-08 15:45:00,1189.26,1189.83,0.5699999999999363,True
2015-05-10,no_asia_data,,,,,,,,,,
2015-05-11,no_pierce_or_fvg,1190.35,1183.98,True,True,,,,,,
2015-05-12,no_pierce_or_fvg,1197.09,1180.78,False,False,,,,,,
2015-05-13,no_pierce_or_fvg,1196.16,1191.22,True,False,,,,,,
2015-05-14,no_pierce_or_fvg,1219.78,1212.29,True,False,,,,,,
2015-05-15,no_pierce_or_fvg,1222.01,1210.97,True,False,,,,,,
2015-05-17,no_asia_data,,,,,,,,,,
2015-05-18,no_pierce_or_fvg,1232.31,1221.57,False,True,,,,,,
2015-05-19,no_pierce_or_fvg,1225.54,1217.11,False,True,,,,,,
2015-05-20,no_pierce_or_fvg,1210.75,1203.26,True,False,,,,,,
2015-05-21,no_pierce_or_fvg,1212.71,1207.87,False,True,,,,,,
2015-05-22,no_pierce_or_fvg,1214.8,1205.54,False,True,,,,,,
2015-05-24,no_asia_data,,,,,,,,,,
2015-05-25,no_pierce_or_fvg,1205.83,1202.82,True,False,,,,,,
2015-05-26,no_pierce_or_fvg,1207.49,1193.17,False,True,,,,,,
2015-05-27,no_pierce_or_fvg,1190.86,1184.23,False,True,,,,,,
2015-05-28,no_pierce_or_fvg,1192.1,1186.37,False,True,,,,,,
2015-05-29,no_pierce_or_fvg,1190.65,1187.68,True,True,,,,,,
2015-05-31,no_asia_data,,,,,,,,,,
2015-06-01,no_pierce_or_fvg,1197.18,1184.52,True,False,,,,,,
2015-06-02,no_pierce_or_fvg,1192.47,1185.92,True,False,,,,,,
2015-06-03,no_pierce_or_fvg,1195.33,1186.77,False,True,,,,,,
2015-06-04,no_pierce_or_fvg,1186.45,1180.38,False,True,,,,,,
2015-06-05,no_pierce_or_fvg,1178.42,1173.65,False,True,,,,,,
2015-06-07,no_asia_data,,,,,,,,,,
2015-06-08,no_pierce_or_fvg,1177.58,1169.16,False,False,,,,,,
2015-06-09,no_pierce_or_fvg,1182.62,1172.45,True,False,,,,,,
2015-06-10,no_pierce_or_fvg,1189.66,1175.22,True,False,,,,,,
2015-06-11,no_pierce_or_fvg,1187.88,1178.5,False,True,,,,,,
2015-06-12,no_pierce_or_fvg,1184.31,1178.62,False,True,,,,,,
2015-06-14,no_asia_data,,,,,,,,,,
2015-06-15,no_pierce_or_fvg,1186.38,1172.78,True,False,,,,,,
2015-06-16,no_pierce_or_fvg,1187.8,1181.79,False,True,,,,,,
