datetime,direction,entry_low,entry_high,atr,ob_time,confirm_time,zone_width,entry_mid
2015-01-02 10:45:00+00:00,SELL,1185.0,1185.64,,2015-01-02 04:15:00+00:00,2015-01-02 10:30:00+00:00,0.6400000000001,1185.3200000000002
2015-01-05 09:45:00+00:00,SELL,1193.67,1196.17,,2015-01-05 09:15:00+00:00,2015-01-05 09:30:00+00:00,2.5,1194.92
2015-01-06 11:45:00+00:00,SELL,1207.41,1209.99,,2015-01-06 11:15:00+00:00,2015-01-06 11:30:00+00:00,2.5799999999999272,1208.7
2015-01-07 22:30:00+00:00,BUY,1209.66,1210.58,,2015-01-07 22:00:00+00:00,2015-01-07 22:15:00+00:00,0.9199999999998454,1210.12
2015-01-08 10:00:00+00:00,SELL,1210.51,1212.44,,2015-01-08 09:30:00+00:00,2015-01-08 09:45:00+00:00,1.9300000000000637,1211.475
2015-01-09 10:15:00+00:00,SELL,1213.23,1216.76,,2015-01-09 09:45:00+00:00,2015-01-09 10:00:00+00:00,3.5299999999999727,1214.995
2015-01-12 13:30:00+00:00,SELL,1228.09,1229.43,,2015-01-12 13:00:00+00:00,2015-01-12 13:15:00+00:00,1.3400000000001455,1228.76
2015-01-13 14:15:00+00:00,BUY,1233.42,1235.19,,2015-01-13 13:45:00+00:00,2015-01-13 14:00:00+00:00,1.7699999999999818,1234.305
2015-01-14 08:45:00+00:00,BUY,1232.28,1233.95,,2015-01-14 08:15:00+00:00,2015-01-14 08:30:00+00:00,1.6700000000000728,1233.115
2015-01-15 06:00:00+00:00,BUY,1234.79,1239.79,,2015-01-15 05:30:00+00:00,2015-01-15 05:45:00+00:00,5.0,1237.29
2015-01-16 10:00:00+00:00,SELL,1266.83,1269.44,,2015-01-16 09:30:00+00:00,2015-01-16 09:45:00+00:00,2.6100000000001273,1268.135
2015-01-19 10:15:00+00:00,BUY,1275.38,1276.27,,2015-01-19 09:45:00+00:00,2015-01-19 10:00:00+00:00,0.8899999999998727,1275.825
2015-01-20 11:45:00+00:00,SELL,1291.02,1293.44,,2015-01-20 11:15:00+00:00,2015-01-20 11:30:00+00:00,2.4200000000000728,1292.23
2015-01-21 10:00:00+00:00,BUY,1297.22,1302.22,,2015-01-21 09:30:00+00:00,2015-01-21 09:45:00+00:00,5.0,1299.72
2015-01-22 09:15:00+00:00,SELL,1291.55,1296.55,,2015-01-22 08:45:00+00:00,2015-01-22 09:00:00+00:00,5.0,1294.05
2015-01-23 10:15:00+00:00,BUY,1294.37,1295.81,,2015-01-23 09:45:00+00:00,2015-01-23 10:00:00+00:00,1.4400000000000546,1295.09
2015-01-26 19:30:00+00:00,BUY,1278.32,1280.21,,2015-01-26 19:00:00+00:00,2015-01-26 19:15:00+00:00,1.8900000000001,1279.2649999999999
2015-01-27 01:15:00+00:00,BUY,1277.35,1278.43,,2015-01-27 00:45:00+00:00,2015-01-27 01:00:00+00:00,1.0800000000001546,1277.8899999999999
2015-01-28 09:15:00+00:00,BUY,1285.0,1289.07,,2015-01-28 08:45:00+00:00,2015-01-28 09:00:00+00:00,4.069999999999936,1287.0349999999999
2015-01-29 11:00:00+00:00,BUY,1265.74,1270.46,,2015-01-29 10:30:00+00:00,2015-01-29 10:45:00+00:00,4.720000000000027,1268.1
2015-01-30 10:45:00+00:00,SELL,1262.46,1266.03,,2015-01-30 10:15:00+00:00,2015-01-30 10:30:00+00:00,3.5699999999999363,1264.245
2015-02-02 09:15:00+00:00,BUY,1270.63,1273.35,,2015-02-02 08:45:00+00:00,2015-02-02 09:00:00+00:00,2.7199999999998,1271.99
