datetime,direction,entry_low,entry_high,atr,ob_time,confirm_time,zone_width,entry_mid
2015-01-29 19:00:00+00:00,BUY,1258.14,1258.93,,2015-01-29 18:30:00+00:00,2015-01-29 18:45:00+00:00,0.7899999999999636,1258.535
2015-04-01 17:15:00+00:00,SELL,1203.8,1204.34,,2015-04-01 16:45:00+00:00,2015-04-01 17:00:00+00:00,0.5399999999999636,1204.07
2015-04-20 18:15:00+00:00,BUY,1195.09,1195.91,,2015-04-20 16:45:00+00:00,2015-04-20 18:00:00+00:00,0.8200000000001637,1195.5
2015-09-24 18:15:00+00:00,SELL,1153.61,1154.22,,2015-09-24 16:45:00+00:00,2015-09-24 18:00:00+00:00,0.6100000000001273,1153.915
2015-09-30 18:15:00+00:00,BUY,1113.97,1114.94,,2015-09-30 16:45:00+00:00,2015-09-30 18:00:00+00:00,0.9700000000000273,1114.455
2015-10-29 18:15:00+00:00,BUY,1145.58,1146.26,,2015-10-29 16:45:00+00:00,2015-10-29 18:00:00+00:00,0.6800000000000637,1145.92
2015-11-16 18:15:00+00:00,BUY,1082.57,1082.9,,2015-11-16 16:45:00+00:00,2015-11-16 18:00:00+00:00,0.3300000000001546,1082.7350000000001
2015-11-17 18:15:00+00:00,BUY,1069.91,1070.39,,2015-11-17 16:45:00+00:00,2015-11-17 18:00:00+00:00,0.4800000000000182,1070.15
2015-12-17 14:15:00+00:00,BUY,1050.4,1051.66,,2015-12-17 13:45:00+00:00,2015-12-17 14:00:00+00:00,1.259999999999991,1051.0300000000002
2016-01-11 18:15:00+00:00,BUY,1094.02,1094.4,,2016-01-11 16:45:00+00:00,2016-01-11 18:00:00+00:00,0.38000000000010914,1094.21
2016-01-14 18:15:00+00:00,BUY,1077.18,1078.1,,2016-01-14 16:45:00+00:00,2016-01-14 18:00:00+00:00,0.9199999999998454,1077.6399999999999
2016-02-03 18:15:00+00:00,SELL,1142.03,1143.06,,2016-02-03 16:45:00+00:00,2016-02-03 18:00:00+00:00,1.0299999999999727,1142.545
2016-02-18 16:45:00+00:00,SELL,1232.89,1234.73,,2016-02-18 16:15:00+00:00,2016-02-18 16:30:00+00:00,1.8399999999999181,1233.81
2016-03-02 16:45:00+00:00,SELL,1240.13,1240.63,,2016-03-02 16:15:00+00:00,2016-03-02 16:30:00+00:00,0.5,1240.38
2016-03-10 18:15:00+00:00,SELL,1270.82,1272.63,,2016-03-10 16:45:00+00:00,2016-03-10 18:00:00+00:00,1.8100000000001728,1271.725
2016-03-16 18:15:00+00:00,SELL,1262.06,1263.5,,2016-03-16 16:45:00+00:00,2016-03-16 18:00:00+00:00,1.4400000000000546,1262.78
2016-03-30 18:15:00+00:00,BUY,1223.8,1225.06,,2016-03-30 16:45:00+00:00,2016-03-30 18:00:00+00:00,1.259999999999991,1224.4299999999998
2016-04-11 20:45:00+00:00,SELL,1255.86,1257.91,,2016-04-11 20:15:00+00:00,2016-04-11 20:30:00+00:00,2.050000000000182,1256.885
