ts_utc,direction,band_lo,band_hi,trigger,atr,ob_time,confirm_time,zone_width,entry_mid,datetime,entry_low,entry_high
2024-01-01 19:00:00+00:00,BUY,2064.155,2065.405,2064.78,,2024-01-01 18:30:00+00:00,2024-01-01 18:45:00+00:00,1.25,2064.78,2024-01-01 19:00:00+00:00,2064.155,2065.405
2024-01-02 00:30:00+00:00,BUY,2069.415,2071.605,2070.51,,2024-01-02 00:00:00+00:00,2024-01-02 00:15:00+00:00,2.1900000000000546,2070.51,2024-01-02 00:30:00+00:00,2069.415,2071.605
2024-01-03 00:45:00+00:00,SELL,2063.405,2064.225,2063.815,,2024-01-03 00:15:00+00:00,2024-01-03 00:30:00+00:00,0.819999999999709,2063.815,2024-01-03 00:45:00+00:00,2063.405,2064.225
2024-01-04 00:30:00+00:00,SELL,2042.435,2043.395,2042.915,,2024-01-04 00:00:00+00:00,2024-01-04 00:15:00+00:00,0.9600000000000364,2042.915,2024-01-04 00:30:00+00:00,2042.435,2043.395
2024-01-05 00:30:00+00:00,SELL,2043.055,2044.755,2043.9050000000002,,2024-01-05 00:00:00+00:00,2024-01-05 00:15:00+00:00,1.7000000000000455,2043.9050000000002,2024-01-05 00:30:00+00:00,2043.055,2044.755
2024-01-08 00:30:00+00:00,SELL,2034.505,2036.045,2035.275,,2024-01-08 00:00:00+00:00,2024-01-08 00:15:00+00:00,1.5399999999999636,2035.275,2024-01-08 00:30:00+00:00,2034.505,2036.045
2024-01-09 00:30:00+00:00,SELL,2032.395,2032.985,2032.69,,2024-01-09 00:00:00+00:00,2024-01-09 00:15:00+00:00,0.5899999999999181,2032.69,2024-01-09 00:30:00+00:00,2032.395,2032.985
2024-01-10 00:30:00+00:00,SELL,2028.715,2030.135,2029.425,,2024-01-10 00:00:00+00:00,2024-01-10 00:15:00+00:00,1.4200000000000728,2029.425,2024-01-10 00:30:00+00:00,2028.715,2030.135
2024-01-11 00:30:00+00:00,BUY,2030.965,2032.415,2031.69,,2024-01-11 00:00:00+00:00,2024-01-11 00:15:00+00:00,1.4500000000000455,2031.69,2024-01-11 00:30:00+00:00,2030.965,2032.415
2024-01-12 00:30:00+00:00,BUY,2034.125,2035.055,2034.5900000000001,,2024-01-12 00:00:00+00:00,2024-01-12 00:15:00+00:00,0.9300000000000637,2034.5900000000001,2024-01-12 00:30:00+00:00,2034.125,2035.055
